,itemLabel,lugarLabel,tipoLabel,areaLabel,url,location,lat,long
0,Vuela,Melipilla,project,community science,https://osf.io/fscn4/,"Melipilla, Provincia de Melipilla, Región Metropolitana de Santiago, Chile",-33.6855115,-71.2145686
1,Laboratorio de Fabricacion Digital UTN-FRM,Mendoza,university research group,academic research,http://frm.utn.edu.ar/labfd,"Ciudad de Mendoza, Sección 2ª Barrio Cívico, Departamento Capital, Mza., Argentina",-32.8897294,-68.8442956
2,Biomakers Lab,Lima,community,community science,https://biomakerslab.wixsite.com,"Lima, Perú",-12.0621065,-77.0365256
3,Centro de Tecnologia Acadêmica,Porto Alegre,university research group,academic research,http://cta.if.ufrgs.br,"Porto Alegre, Região Geográfica Imediata de Porto Alegre, Região Metropolitana de Porto Alegre, Região Geográfica Intermediária de Porto Alegre, RS, Região Sul, Brasil",-30.0324999,-51.2303767
4,EITCHA - Escola Itinerante de Tecnologia Cidadã Hacker,Porto Alegre,project,education,http://eitcha.org/,"Porto Alegre, Região Geográfica Imediata de Porto Alegre, Região Metropolitana de Porto Alegre, Região Geográfica Intermediária de Porto Alegre, RS, Região Sul, Brasil",-30.0324999,-51.2303767
5,OpenBio,Santiago,community,academic research,http://openbio.cl/,"Santiago, Provincia de Santiago, Región Metropolitana de Santiago, 8320000, Chile",-33.4377968,-70.6504451
6,FluoPi,Santiago,project,academic research,https://osf.io/dy6p2/wiki/home/,"Santiago, Provincia de Santiago, Región Metropolitana de Santiago, 8320000, Chile",-33.4377968,-70.6504451
7,Laboratorio de fisica interactiva,Mendoza,university research group,academic research,http://fcen.uncuyo.edu.ar/fisica-interactiva,"Ciudad de Mendoza, Sección 2ª Barrio Cívico, Departamento Capital, Mza., Argentina",-32.8897294,-68.8442956
8,Monitor Abierto de Calidad de Aire (MACA),Mendoza,project,community science,https://gitlab.com/nanocastro/Repo_maca,"Ciudad de Mendoza, Sección 2ª Barrio Cívico, Departamento Capital, Mza., Argentina",-32.8897294,-68.8442956
9,KOMBUCH.ar/nl.GENOMICS,Buenos Aires,project,art,https://laola2020.github.io/,"CABA, Argentina",-34.6075616,-58.437076
10,VIOS,Glattbrugg Switzerland,incubator,social innovation,www.vios.ch,"Glattbrugg, Bezirk Bülach, Zürich, 8152, Schweiz/Suisse/Svizzera/Svizra",47.4326312,8.5647892
11,Pelling Lab,Ottawa Canada,university research group,academic research,https://www.pellinglab.net/,"Ottawa, Eastern Ontario, Ontario, K1P 1J1, Canada",45.421106,-75.690308
12,Lifepatch,Yogyakarta Indonesia,community,community science,http://lifepatch.org/,"Kota Yogyakarta, DIY, NKRI",-7.8011945,110.364917
13,Public Lab,Providence US,community,community science,https://publiclab.org,"Providence, Providence County, Rhode Island, United States of America",41.8239891,-71.4128343
14,Citizens without borders,London UK,community,community science,https://citizenswithoutbordersdotcom.wordpress.com/,"London, Greater London, England, UK",51.4893335,-0.144055084527687
15,Experiment,New York US,crowdfunding platform,academic research,Experiment.com,"NYC, New York, United States of America",40.7127281,-74.0060152
