item,itemLabel,lugarLabel,tipoLabel,areaLabel,url,coords,gosh
Q62395381,Vuela,Melipilla,project,community science,https://osf.io/fscn4/,Point(-71.216666666 -33.7),yes
Q62395408,Laboratorio de Fabricacion Digital UTN-FRM,Mendoza,university research group,academic research,http://frm.utn.edu.ar/labfd,Point(-68.833333333 -32.883333333),yes
Q62395430,Biomakers Lab,Lima,community,community science,https://biomakerslab.wixsite.com,Point(-77.033333333 -12.05),yes
Q62395431,Centro de Tecnologia Acadêmica,Porto Alegre,university research group,academic research,http://cta.if.ufrgs.br,Point(-51.23 -30.032777777),no
Q62395432,EITCHA - Escola Itinerante de Tecnologia Cidadã Hacker,Porto Alegre,project,education,http://eitcha.org/,Point(-51.23 -30.032777777),yes
Q62395437,OpenBio,Santiago,community,academic research,http://openbio.cl/,Point(-70.666666666 -33.45),no
Q62395439,FluoPi,Santiago,project,academic research,https://osf.io/dy6p2/wiki/home/,Point(-70.666666666 -33.45),yes
Q62395440,Laboratorio de fisica interactiva,Mendoza,university research group,academic research,http://fcen.uncuyo.edu.ar/fisica-interactiva,Point(-68.833333333 -32.883333333),no
Q62395443,Monitor Abierto de Calidad de Aire (MACA),Mendoza,project,community science,https://gitlab.com/nanocastro/Repo_maca,Point(-68.833333333 -32.883333333),yes
Q62395444,KOMBUCH.ar/nl.GENOMICS,Buenos Aires,project,art,https://laola2020.github.io/,Point(-58.381944444 -34.599722222),yes
,VIOS,Glattbrugg Switzerland,incubator,social innovation,www.vios.ch,,yes
,Pelling Lab,Ottawa Canada,university research group,academic research,https://www.pellinglab.net/,,yes
,Lifepatch,Yogyakarta Indonesia,community,community science,http://lifepatch.org/,,no
,Public Lab,Providence US,community,community science,https://publiclab.org,,no
,Citizens without borders,London UK,community,community science,https://citizenswithoutbordersdotcom.wordpress.com/,,yes
,Experiment,New York US,crowdfunding platform,academic research,Experiment.com,,yes
,Greening Bourj Al Shamali,Lebanon,project,community science,http://bourjalshamali.org/,,yes
,Shenzhen Open Innovation Lab,Shenzhen China,Fab Lab,social innovation,https://www.szoil.org/,,yes
,Citizen Cyberlab,Geneva Switzerland,university research group,academic research,http://citizencyberlab.org/about.html,,yes
,Backyard Brains,Ann Arbor MI USA,company,education,https://backyardbrains.com/,,yes
,BioIRC,Kragujevac  Serbia,university research group,academic research,http://www.bioirc.ac.rs,,yes
,CERN Open Hardware ,Geneva Switzerland,research institute,academic research,https://kt.cern/open,,yes
,OpenPlant,Cambridge UK,university research group,academic research,https://www.openplant.org/,,yes
,Biomaker space,Cambridge UK,funding programme,academic research,https://www.biomaker.org/,,yes
,CRI,Paris France,research institute,academic research,https://cri-paris.org/,,yes
,Freifunk,Germany,community,community science,https://freifunk.net,,yes
,CosmicPi,Geneva Switzerland,project,academic research,http://cosmicpi.org,,no
,London Biohackspace,London UK,Community Lab,community science,https://biohackspace.org/,,yes
,Hackuarium,Lausanne Switzerland,Community Lab,community science,http://wiki.hackuarium.ch,,yes
,Hackteria,Zurich,community,community science,http://www.hackteria.org/,,yes
,Open Factory,Frauenfeld Switzerland,company,social innovation,www.openfactory.ch,,yes
,OpenQCM,Pompeii Italy,company,academic research,https://openqcm.com/,,no
,Civic Laboratory for Environmental Action Research (CLEAR),Newfoundland Canada,university research group,academic research,https://civiclaboratory.nl/,,yes
,Safecast,Japan,community,community science,https://safecast.org,,yes
,Karkhana,Kathmandu,company,education,karkhana.asia,,yes
,KitHub,Los Angeles CA USA,company,education,https://kithub.cc/,,no
,Docubricks,Cambridge UK,documentation platform,academic research,http://docubricks.com/,,no
,TreND in Africa,Africa,non profit,academic research,http://trendinafrica.org,,yes
,GaudiLabs,Lucern Switzerland,Lab,community science,http://www.gaudi.ch/GaudiLabs/?page_id=2,,yes
,OpenIOLabs,Cambridge UK,company,academic research,https://twitter.com/openiolabs,,yes
,Pixelache,Helsinki Finland,community,community science,https://pixelache.ac,,yes
,Laboratorio de Fisiología de Proteínas,Buenos Aires,Lab,academic research,http://www.iquibicen.fcen.uba.ar/grupodeinvestigacin/laboratorio-de-fisiologia-proteica/,Point(-58.381944444 -34.599722222),no
,IFIBYNE UBA-CONICET,Buenos Aires,Lab,academic research,http://www.ifibyne.fcen.uba.ar/new/en/institucional-y-autoridades/,Point(-58.381944444 -34.599722222),no
,Pineapple Labs,Heidelberg Germany,project,art,http://www.pineapplelaboratories.org/,,yes
,Cytera cell works,London UK,company,academic research,https://cytera.bio/,,yes
,Blackbeard Biologic,Chesapeake Bay USA,company,community science,http://www.blackbeardbiologic.com/,,yes
,Bento,UK,company,education,www.bento.bio,,yes
,FabLab Universidad de Chile,Santiago,Lab,academic research,http://www.fablab.uchile.cl/,,yes
,Green Start,New Hampshire USA,non profit,education,http://www.greenstartnh.org/,,yes
Q62395434,Federici Lab,Santiago,university research group,academic research,https://federicilab.org/,Point(-70.666666666 -33.45),yes
,Feminist Approach to Technology (FAT),New Delhi,non profit,education,http://www.fat-net.org/,,yes
